row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:This,9:sentence,10::,"11:""",12:the,13:notificati…,14:was,15:first,16:reported,17:fr,18:iday,19:by,20:ms,21:nb,22:c,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L15-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.58766645,0.01910922,0.03474848,0.01874131,0.02217461,0.02976205,0.04712577,0.01974330,0.03109438,0.02174117,0.01398256,0.01760503,0.00624921,0.02665114,0.00640616,0.00622556,0.01151440,0.05210244,0.02735676,0.00000000,0.00000000,0.00000000,0.00000000
L15-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.49841875,0.01163483,0.01326273,0.00365344,0.00434134,0.00433955,0.02692466,0.00791548,0.07199514,0.07137149,0.02610494,0.08185129,0.04149595,0.02854603,0.02789281,0.02796742,0.01760979,0.01671634,0.00863803,0.00931996,0.00000000,0.00000000,0.00000000
L15-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.78822315,0.00947714,0.05435457,0.00624098,0.00370438,0.00116912,0.00517088,0.00063126,0.00333301,0.00765334,0.00712386,0.01186248,0.00498370,0.00691148,0.01552850,0.00994831,0.00666624,0.01658999,0.01929427,0.00598704,0.01514633,0.00000000,0.00000000
L15-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81328100,0.00994048,0.02071005,0.01236317,0.01748798,0.01450558,0.00460819,0.00228003,0.00294022,0.00369424,0.00470281,0.00337095,0.00227930,0.00377128,0.00082170,0.00115634,0.00789509,0.02100100,0.02762059,0.00481812,0.00202424,0.01872759,0.00000000
"L15-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.20445441,0.00115693,0.00092039,0.00112663,0.00334236,0.05218427,0.07840518,0.27965233,0.18717812,0.08061349,0.00906050,0.04690748,0.01733101,0.01094650,0.00146805,0.00600863,0.00952091,0.00591720,0.00066308,0.00045455,0.00029078,0.00012373,0.00227349
L15-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.57840875,0.01026372,0.02479924,0.00842510,0.01021013,0.02039211,0.03244694,0.06204448,0.05930817,0.03701475,0.01219493,0.03231945,0.01446783,0.01536529,0.01042344,0.01026125,0.01064129,0.02246539,0.01671455,0.00411593,0.00349227,0.00377026,0.00045470
L16-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.87591684,0.00586517,0.00224987,0.02212009,0.06123085,0.00257184,0.00021006,0.00012231,0.00467704,0.00176163,0.00646535,0.00409870,0.00214264,0.00307806,0.00016057,0.00009857,0.00006899,0.00048334,0.00667820,0.00000000,0.00000000,0.00000000,0.00000000
L16-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93986493,0.00622384,0.00206240,0.00133371,0.00939142,0.00113686,0.00061879,0.00007186,0.00092565,0.00198303,0.00079983,0.00188503,0.01330456,0.00699015,0.00128403,0.00339111,0.00040820,0.00015121,0.00041789,0.00775547,0.00000000,0.00000000,0.00000000
L16-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97122860,0.00159357,0.00730152,0.00393504,0.00084606,0.00007309,0.00064417,0.00007696,0.00008297,0.00157539,0.00035489,0.00063321,0.00563553,0.00197339,0.00143504,0.00092671,0.00015851,0.00004194,0.00004457,0.00017521,0.00126365,0.00000000,0.00000000
L16-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91878009,0.00297995,0.00035487,0.01397023,0.01101109,0.00068172,0.00004986,0.00022914,0.00024109,0.00298910,0.00311030,0.00309229,0.01244134,0.00358843,0.00015943,0.00014200,0.00064220,0.00109719,0.00624332,0.00790413,0.00420846,0.00608375,0.00000000
