row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:<blank>,9:<blank>,10:This,11:sentence,12::,"13:""",14:dru,15:ce,16:will,17:face,18:murder,19:charges,"20:,",21:conte,22:said,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L18-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93072319,0.00705049,0.00816475,0.00321975,0.00437120,0.00424396,0.00609494,0.00232160,0.00461009,0.00446930,0.00308733,0.00242905,0.00226600,0.00383328,0.00338190,0.00293789,0.00495881,0.00183640,0.00000000,0.00000000,0.00000000
L18-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.86165965,0.00247132,0.09461792,0.00749306,0.00378161,0.00188320,0.00110116,0.00069224,0.00203144,0.00179899,0.00879984,0.00274312,0.00011518,0.00142101,0.00215364,0.00175896,0.00445630,0.00026760,0.00075373,0.00000000,0.00000000
L18-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82805878,0.01348685,0.00261569,0.00644089,0.01043826,0.05749591,0.03016351,0.00449698,0.00430186,0.00890351,0.00441496,0.00659718,0.00214285,0.00187055,0.00563895,0.00472189,0.00203963,0.00243236,0.00133520,0.00240427,0.00000000
"L18-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22575212,0.00046348,0.00025743,0.00097766,0.00302484,0.38672557,0.29103154,0.00278382,0.00134618,0.04970246,0.00124801,0.00496256,0.02400159,0.00060328,0.00485984,0.00072785,0.00004284,0.00003674,0.00005841,0.00005673,0.00133704
L18-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.68874876,0.00944135,0.02174661,0.00621955,0.00991634,0.10726762,0.08015106,0.00978989,0.00815510,0.01859758,0.00549009,0.00608505,0.00767349,0.00287366,0.00691957,0.00502073,0.00379982,0.00091462,0.00042947,0.00049220,0.00026741
L19-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48736522,0.01149221,0.01497875,0.01605566,0.01883052,0.24499278,0.03968072,0.00871565,0.01044085,0.06588677,0.01330424,0.00622461,0.04883050,0.00135721,0.00432197,0.00375964,0.00376264,0.00000000,0.00000000,0.00000000,0.00000000
L19-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.90567398,0.00490326,0.00927174,0.00475948,0.00801404,0.03508997,0.00308948,0.00027979,0.00038914,0.00793805,0.00069569,0.00099373,0.00774886,0.00047176,0.00114449,0.00183692,0.00080076,0.00689897,0.00000000,0.00000000,0.00000000
L19-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89534384,0.00198136,0.03723278,0.01571544,0.00625091,0.01381275,0.00131004,0.00041075,0.00031149,0.00409888,0.00112619,0.00208228,0.00065986,0.00029342,0.00225948,0.00135878,0.00118299,0.00213084,0.01243795,0.00000000,0.00000000
L19-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48706552,0.01198738,0.02161254,0.02008937,0.01766860,0.33582172,0.02057405,0.01100405,0.00480881,0.03129336,0.00388799,0.00424666,0.01148814,0.00107822,0.00155459,0.00211180,0.00369571,0.00415320,0.00456388,0.00129443,0.00000000
"L19-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.34175709,0.00492930,0.00442366,0.00461073,0.00890598,0.46109155,0.01476364,0.00615624,0.01328936,0.06615745,0.02016509,0.00663427,0.03339146,0.00179891,0.00354181,0.00217045,0.00127431,0.00085607,0.00184454,0.00019260,0.00204548
L19-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.62344113,0.00705870,0.01750389,0.01224613,0.01193401,0.21816175,0.01588359,0.00531330,0.00584793,0.03507490,0.00783584,0.00403631,0.02042376,0.00099990,0.00256447,0.00224752,0.00214328,0.00280782,0.00376927,0.00029741,0.00040910
L20-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.33675578,0.00501107,0.00387773,0.01900240,0.01048694,0.06647512,0.11975424,0.07563449,0.07671059,0.09542494,0.09351929,0.00718158,0.04004510,0.02567793,0.00415419,0.00954634,0.01074221,0.00000000,0.00000000,0.00000000,0.00000000
L20-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75178814,0.00020088,0.00096116,0.00654723,0.00345767,0.02510063,0.02852984,0.03055826,0.01410184,0.05781805,0.02708593,0.00255019,0.02615079,0.01430194,0.00118441,0.00653923,0.00240275,0.00072112,0.00000000,0.00000000,0.00000000
L20-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88184816,0.00120904,0.00421297,0.01187845,0.00570388,0.00405503,0.01516567,0.00940770,0.00578443,0.01355949,0.01085524,0.00146948,0.00612443,0.02041875,0.00153360,0.00360736,0.00164078,0.00034352,0.00118197,0.00000000,0.00000000
L20-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75381488,0.00442614,0.00689634,0.02225629,0.01177613,0.01028918,0.02330585,0.02626544,0.01642004,0.01231447,0.03087963,0.00468827,0.00448807,0.01186942,0.00396273,0.01679241,0.02715122,0.00325806,0.00236769,0.00677781,0.00000000
